state_no,state,canonical_language,assignment_source,mother_tongue_name_2001,mother_tongue_code_2001,mapping_status_2001,include_2001_level,mother_tongue_name_2011,mother_tongue_code_2011,mapping_status_2011,include_2011_level,include_common_2001_2011_change,overall_status,ambiguity_note
11,Sikkim,Sikkimese,official_source,SIKKIMESE,109001,exact source spelling,False,,,not separately tabulated,False,False,not_common_year_comparable,"not separately tabulated in 2011; 2001 code 109001 is paired with multiple labels across state files: SIKKIMESE, SIMPA, SIMTE"
11,Sikkim,Tamang,official_source + user_addition,TAMANG,110001,exact source spelling,True,Tamang,111001,exact source spelling,True,True,ready,
11,Sikkim,Tibetan,user_addition,TIBETAN,114008,exact source spelling,True,Tibetan,115008,exact source spelling,True,True,ready,
12,Arunachal Pradesh,Adi,user_addition,ADI,023002,exact source spelling,True,Adi,023003,exact source spelling,True,True,ready,
12,Arunachal Pradesh,Bhotiya,user_addition,BHOTIA,031001,source alias/combined label,True,Bhotia,031001,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
12,Arunachal Pradesh,Deori,user_addition,DEORI,038001,exact source spelling,True,Deori,038001,exact source spelling,True,True,ready,
12,Arunachal Pradesh,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
12,Arunachal Pradesh,Mishing,user_addition,MIRI/MISHING,086003,source alias/combined label,True,Miri/Mishing,087003,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
12,Arunachal Pradesh,Mishmi,user_addition,MISHMI,087005,exact source spelling,True,Mishmi,088007,exact source spelling,True,True,ready,
12,Arunachal Pradesh,Monpa,user_addition,MONPA,089003,exact source spelling,True,Monpa,090003,exact source spelling,True,True,ready,
12,Arunachal Pradesh,Nissi,user_addition,NISSI,093007,exact source spelling,True,Nissi/Dafla,094007,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
12,Arunachal Pradesh,Nocte,user_addition,NOCTE,094003,exact source spelling,True,Nocte,095003,exact source spelling,True,True,ready,
12,Arunachal Pradesh,Tangsa,user_addition,TANGSA,112017,exact source spelling,True,TANGSA,113000,exact source spelling; parent row only,True,True,ready_with_source_caveat,"at least one year has only a parent row, not a distinct child mother-tongue row"
12,Arunachal Pradesh,Tibetan,user_addition,TIBETAN,114008,exact source spelling,True,Tibetan,115008,exact source spelling,True,True,ready,
12,Arunachal Pradesh,Wancho,user_addition,WANCHO,118001,exact source spelling,True,Wancho,119001,exact source spelling,True,True,ready,
13,Nagaland,Angami,user_addition,ANGAMI,026002,exact source spelling,True,Angami,026002,exact source spelling,True,True,ready,
13,Nagaland,Ao,user_addition,AO,027001,exact source spelling,True,Ao,027001,exact source spelling,True,True,ready,
13,Nagaland,Chakhesang,user_addition,CHAKHESANG,034001,exact source spelling,True,Chakhesang,034001,exact source spelling,True,True,ready,
13,Nagaland,Chang,user_addition,CHANG,036001,exact source spelling,True,Chang,036001,exact source spelling,True,True,ready,
13,Nagaland,Chokri,user_addition,CHAKRU/CHOKRI,035001,source alias/combined label,True,Chakru/Chokri,035001,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
13,Nagaland,Dimasa,user_addition,DIMASA,039002,exact source spelling,True,Dimasa,039002,exact source spelling,True,True,ready,
13,Nagaland,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
13,Nagaland,Kabui,user_addition,KABUI,051003,exact source spelling,True,Kabui,051003,exact source spelling,True,True,ready,
13,Nagaland,Khezha,user_addition,KHEZHA,056001,exact source spelling,True,Khezha,056003,exact source spelling,True,True,ready,
13,Nagaland,Khiemnungan,user_addition,KHIEMNUNGAN,057001,exact source spelling,True,Khiemnungan,057001,exact source spelling,True,True,ready,
13,Nagaland,Konyak,user_addition,KONYAK,066001,exact source spelling,True,Konyak,066001,exact source spelling,True,True,ready,
13,Nagaland,Kuki,user_addition,KUKI,071007,exact source spelling,True,Kuki,071008,exact source spelling,True,True,ready,
13,Nagaland,Liangmei,user_addition,LIANGMEI,079002,exact source spelling,True,Liangmei,079002,exact source spelling,True,True,ready,
13,Nagaland,Lotha,user_addition,LOTHA,081001,exact source spelling,True,Lotha,081001,exact source spelling,True,True,ready,
13,Nagaland,Mao,user_addition,,,not separately tabulated,False,Mao,084001,exact source spelling,True,False,not_common_year_comparable,not separately tabulated in 2001
13,Nagaland,Phom,user_addition,PHOM,099001,exact source spelling,True,Phom,100001,exact source spelling,True,True,ready,
13,Nagaland,Pochury,user_addition,POCHURY,100005,exact source spelling,True,Pochury,101006,exact source spelling,True,True,ready,
13,Nagaland,Rengma,user_addition,RENGMA,103001,exact source spelling,True,Rengma,104001,exact source spelling,True,True,ready,
13,Nagaland,Sangtam,user_addition,SANGTAM,104003,exact source spelling,True,Sangtam,105004,exact source spelling,True,True,ready,
13,Nagaland,Sema,user_addition,SEMA,106001,exact source spelling,True,Sema,107002,exact source spelling,True,True,ready,
13,Nagaland,Yimchungre,user_addition,YIMCHUNGRE,119004,exact source spelling,True,Yimchungre,120005,exact source spelling,True,True,ready,
13,Nagaland,Zeliang,user_addition,ZELIANG,120001,exact source spelling,True,Zeliang,121001,exact source spelling,True,True,ready,
13,Nagaland,Zemi,user_addition,ZEMI,121002,exact source spelling,True,Zemi,122003,exact source spelling,True,True,ready,
14,Manipur,Anal,user_addition,ANAL,025001,exact source spelling,True,Anal,025001,exact source spelling,True,True,ready,
14,Manipur,Bishnupuriya,user_addition,BISHNUPRIYA MANIPURI/MANIPURI BISHNUPRIYA,033001,source alias/combined label,True,Bishnupriya Manipuri/Manipuri Bishnupriya,033003,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
14,Manipur,Chakhesang,user_addition,CHAKHESANG,034001,exact source spelling,True,Chakhesang,034001,exact source spelling,True,True,ready,
14,Manipur,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
14,Manipur,Gangte,user_addition,GANGTE,042001,exact source spelling,True,Gangte,042001,exact source spelling,True,True,ready,
14,Manipur,Hmar,user_addition,HMAR,047001,exact source spelling,True,Hmar,047001,exact source spelling,True,True,ready,
14,Manipur,Kabui,user_addition,KABUI,051003,exact source spelling,True,Kabui,051003,exact source spelling,True,True,ready,
14,Manipur,Khezha,user_addition,KHEZHA,056001,exact source spelling,True,Khezha,056003,exact source spelling,True,True,ready,
14,Manipur,Kom,user_addition,KOM,064001,exact source spelling,True,Kom,064001,exact source spelling,True,True,ready,
14,Manipur,Kuki,user_addition,KUKI,071007,exact source spelling,True,Kuki,071008,exact source spelling,True,True,ready,
14,Manipur,Liangmei,user_addition,LIANGMEI,079002,exact source spelling,True,Liangmei,079002,exact source spelling,True,True,ready,
14,Manipur,Manipuri,official_source,MANIPURI,012002,exact source spelling,True,Manipuri,012003,exact source spelling,True,True,ready,
14,Manipur,Mao,user_addition,,,not separately tabulated,False,Mao,084001,exact source spelling,True,False,not_common_year_comparable,not separately tabulated in 2001
14,Manipur,Maram,user_addition,MARAM,084001,exact source spelling,True,Maram,085001,exact source spelling,True,True,ready,
14,Manipur,Maring,user_addition,MARING,085001,exact source spelling,True,Maring,086001,exact source spelling,True,True,ready,
14,Manipur,Mizo,user_addition,LUSHAI/MIZO,082003,source alias/combined label,True,Lushai/Mizo,082005,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
14,Manipur,Paite,user_addition,PAITE,095002,exact source spelling,True,Paite,096002,exact source spelling,True,True,ready,
14,Manipur,Tangkhul,user_addition,TANGKHUL,111005,exact source spelling,True,Tangkhul,112008,exact source spelling,True,True,ready,
14,Manipur,Thado,user_addition,THADO,113015,exact source spelling,True,Thado,114015,exact source spelling,True,True,ready,
14,Manipur,Vaiphei,user_addition,VAIPHEI,117001,exact source spelling,True,Vaiphei,118002,exact source spelling,True,True,ready,
14,Manipur,Yimchungre,user_addition,YIMCHUNGRE,119004,exact source spelling,True,Yimchungre,120005,exact source spelling,True,True,ready,
14,Manipur,Zeliang,user_addition,ZELIANG,120001,exact source spelling,True,Zeliang,121001,exact source spelling,True,True,ready,
14,Manipur,Zemi,user_addition,ZEMI,121002,exact source spelling,True,Zemi,122003,exact source spelling,True,True,ready,
14,Manipur,Zou,user_addition,ZOU,122001,exact source spelling,True,Zou,123001,exact source spelling,True,True,ready,
15,Mizoram,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
15,Mizoram,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
15,Mizoram,Hmar,user_addition,HMAR,047001,exact source spelling,True,Hmar,047001,exact source spelling,True,True,ready,
15,Mizoram,Lakher,user_addition,LAKHER,076001,exact source spelling,True,LAKHER,076000,exact source spelling; parent row only,True,True,ready_with_source_caveat,"at least one year has only a parent row, not a distinct child mother-tongue row"
15,Mizoram,Mizo,official_source + user_addition,LUSHAI/MIZO,082003,source alias/combined label,True,Lushai/Mizo,082005,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
15,Mizoram,Paite,user_addition,PAITE,095002,exact source spelling,True,Paite,096002,exact source spelling,True,True,ready,
15,Mizoram,Pawi,user_addition,PAWI,097001,exact source spelling,True,Pawi,098001,exact source spelling,True,True,ready,
15,Mizoram,Tripuri,user_addition,TRIPURI,115006,exact source spelling,True,Tripuri,116014,exact source spelling,True,True,ready,
16,Tripura,Bengali,official_source,BENGALI,002004,exact source spelling,True,Bengali,002007,exact source spelling,True,True,ready,
16,Tripura,Bishnupuriya,user_addition,BISHNUPRIYA MANIPURI/MANIPURI BISHNUPRIYA,033001,source alias/combined label,True,Bishnupriya Manipuri/Manipuri Bishnupriya,033003,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
16,Tripura,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
16,Tripura,Garo,user_addition,GARO,043005,exact source spelling,True,Garo,043005,exact source spelling,True,True,ready,
16,Tripura,Halam,user_addition,HALAM,046003,exact source spelling,True,Halam,046003,exact source spelling,True,True,ready,
16,Tripura,Hmar,user_addition,HMAR,047001,exact source spelling,True,Hmar,047001,exact source spelling,True,True,ready,
16,Tripura,Kokborok,official_source,KOK BARAK,115002,source alias/combined label,True,Kokbarak,116007,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
16,Tripura,Mizo,user_addition,LUSHAI/MIZO,082003,source alias/combined label,True,Lushai/Mizo,082005,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
16,Tripura,Mogh,user_addition,MOGH,088002,exact source spelling,True,Mogh,089004,exact source spelling,True,True,ready,
16,Tripura,Tripuri,user_addition,TRIPURI,115006,exact source spelling,True,Tripuri,116014,exact source spelling,True,True,ready,
17,Meghalaya,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
17,Meghalaya,Gangte,user_addition,GANGTE,042001,exact source spelling,True,Gangte,042001,exact source spelling,True,True,ready,
17,Meghalaya,Garo,official_source + user_addition,GARO,043005,exact source spelling,True,Garo,043005,exact source spelling,True,True,ready,
17,Meghalaya,Hmar,user_addition,HMAR,047001,exact source spelling,True,Hmar,047001,exact source spelling,True,True,ready,
17,Meghalaya,Karbi,user_addition,KARBI,052002,exact source spelling,True,Karbi/Mikir,052002,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
17,Meghalaya,Khasi,official_source + user_addition,KHASI,055006,exact source spelling,True,Khasi,055007,exact source spelling,True,True,ready,
17,Meghalaya,Koch,user_addition,KOCH,061002,exact source spelling,True,Koch,061002,exact source spelling,True,True,ready,
17,Meghalaya,Lalung,user_addition,LALUNG,077001,exact source spelling,True,Lalung,077001,exact source spelling,True,True,ready,
17,Meghalaya,Rabha,user_addition,RABHA,101002,exact source spelling,True,Rabha,102002,exact source spelling,True,True,ready,
18,Assam,Assamese,official_source,ASSAMESE,001002,exact source spelling,True,Assamese,001002,exact source spelling,True,True,ready,
18,Assam,Bengali,official_source,BENGALI,002004,exact source spelling,True,Bengali,002007,exact source spelling,True,True,ready,
18,Assam,Bishnupuriya,user_addition,BISHNUPRIYA MANIPURI/MANIPURI BISHNUPRIYA,033001,source alias/combined label,True,Bishnupriya Manipuri/Manipuri Bishnupriya,033003,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
18,Assam,Bodo,official_source,BODO,003001,exact source spelling,True,Bodo/Boro,003001,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
18,Assam,Deori,user_addition,DEORI,038001,exact source spelling,True,Deori,038001,exact source spelling,True,True,ready,
18,Assam,Dimasa,user_addition,DIMASA,039002,exact source spelling,True,Dimasa,039002,exact source spelling,True,True,ready,
18,Assam,Gangte,user_addition,GANGTE,042001,exact source spelling,True,Gangte,042001,exact source spelling,True,True,ready,
18,Assam,Garo,user_addition,GARO,043005,exact source spelling,True,Garo,043005,exact source spelling,True,True,ready,
18,Assam,Hmar,user_addition,HMAR,047001,exact source spelling,True,Hmar,047001,exact source spelling,True,True,ready,
18,Assam,Kabui,user_addition,KABUI,051003,exact source spelling,True,Kabui,051003,exact source spelling,True,True,ready,
18,Assam,Karbi,user_addition,KARBI,052002,exact source spelling,True,Karbi/Mikir,052002,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
18,Assam,Khasi,user_addition,KHASI,055006,exact source spelling,True,Khasi,055007,exact source spelling,True,True,ready,
18,Assam,Koch,user_addition,KOCH,061002,exact source spelling,True,Koch,061002,exact source spelling,True,True,ready,
18,Assam,Kuki,user_addition,KUKI,071007,exact source spelling,True,Kuki,071008,exact source spelling,True,True,ready,
18,Assam,Kurukh,user_addition,KURUKH/ORAON,072009,source alias/combined label,True,Kurukh/Oraon,072024,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
18,Assam,Lalung,user_addition,LALUNG,077001,exact source spelling,True,Lalung,077001,exact source spelling,True,True,ready,
18,Assam,Mishing,user_addition,MIRI/MISHING,086003,source alias/combined label,True,Miri/Mishing,087003,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
18,Assam,Mishmi,user_addition,MISHMI,087005,exact source spelling,True,Mishmi,088007,exact source spelling,True,True,ready,
18,Assam,Mizo,user_addition,LUSHAI/MIZO,082003,source alias/combined label,True,Lushai/Mizo,082005,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
18,Assam,Nissi,user_addition,NISSI,093007,exact source spelling,True,Nissi/Dafla,094007,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
18,Assam,Rabha,user_addition,RABHA,101002,exact source spelling,True,Rabha,102002,exact source spelling,True,True,ready,
18,Assam,Sema,user_addition,SEMA,106001,exact source spelling,True,Sema,107002,exact source spelling,True,True,ready,
18,Assam,Tamang,user_addition,TAMANG,110001,exact source spelling,True,Tamang,111001,exact source spelling,True,True,ready,
18,Assam,Tripuri,user_addition,TRIPURI,115006,exact source spelling,True,Tripuri,116014,exact source spelling,True,True,ready,
18,Assam,Zemi,user_addition,ZEMI,121002,exact source spelling,True,Zemi,122003,exact source spelling,True,True,ready,
19,West Bengal,Bengali,official_source,BENGALI,002004,exact source spelling,True,Bengali,002007,exact source spelling,True,True,ready,
19,West Bengal,Bhumij,user_addition,BHUMIJ,032002,exact source spelling,True,Bhumij,032002,exact source spelling,True,True,ready,
19,West Bengal,English,official_source,ENGLISH,040001,exact source spelling,True,English,040001,exact source spelling,True,True,ready,
19,West Bengal,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
19,West Bengal,Kamtapuri,official_source,,,not separately tabulated,False,,,not separately tabulated,False,False,not_common_year_comparable,not separately tabulated in 2001; not separately tabulated in 2011
19,West Bengal,Kisan,user_addition,KISAN,060001,exact source spelling,True,Kisan,060002,exact source spelling,True,True,ready,
19,West Bengal,Koch,user_addition,KOCH,061002,exact source spelling,True,Koch,061002,exact source spelling,True,True,ready,
19,West Bengal,Koda,user_addition,KODA/KORA,062003,source alias/combined label,True,Koda/Kora,062003,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
19,West Bengal,Kurmali,official_source,KURMALI THAR,006165,source alias/combined label,True,Kurmali Thar,006345,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
19,West Bengal,Kurukh,official_source + user_addition,KURUKH/ORAON,072009,source alias/combined label,True,Kurukh/Oraon,072024,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
19,West Bengal,Lepcha,user_addition,LEPCHA,078001,exact source spelling,True,Lepcha,078001,exact source spelling,True,True,ready,
19,West Bengal,Malto,user_addition,MALTO,083000,exact source spelling; parent row only,True,MALTO,083000,exact source spelling; parent row only,True,True,ready_with_source_caveat,"at least one year has only a parent row, not a distinct child mother-tongue row"
19,West Bengal,Munda,user_addition,MUNDA,090006,exact source spelling,True,Munda,091009,exact source spelling,True,True,ready,
19,West Bengal,Mundari,user_addition,MUNDARI,091004,exact source spelling,True,Mundari,092005,exact source spelling,True,True,ready,
19,West Bengal,Nepali,official_source,NEPALI,014009,exact source spelling,True,Nepali,014011,exact source spelling,True,True,ready,
19,West Bengal,Odia,official_source,ORIYA,015031,source alias/combined label,True,Odia,015043,exact source spelling,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
19,West Bengal,Punjabi,official_source,PUNJABI,016018,exact source spelling,True,Punjabi,016038,exact source spelling,True,True,ready,
19,West Bengal,Rabha,user_addition,RABHA,101002,exact source spelling,True,Rabha,102002,exact source spelling,True,True,ready,
19,West Bengal,Rajbanshi,official_source,RAJBANGSI,002023,source alias/combined label,True,Rajbangsi,002044,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
19,West Bengal,Santali,official_source,SANTALI,018013,exact source spelling,True,Santali,018040,exact source spelling,True,True,ready,
19,West Bengal,Tamang,user_addition,TAMANG,110001,exact source spelling,True,Tamang,111001,exact source spelling,True,True,ready,
19,West Bengal,Telugu,official_source,TELUGU,021035,exact source spelling,True,Telugu,021046,exact source spelling,True,True,ready,
19,West Bengal,Urdu,official_source,URDU,022014,exact source spelling,True,Urdu,022015,exact source spelling,True,True,ready,
20,Jharkhand,Angika,official_source,,,not separately tabulated,False,,,not separately tabulated,False,False,not_common_year_comparable,not separately tabulated in 2001; not separately tabulated in 2011
20,Jharkhand,Bengali,official_source,BENGALI,002004,exact source spelling,True,Bengali,002007,exact source spelling,True,True,ready,
20,Jharkhand,Bhojpuri,official_source,BHOJPURI,006045,exact source spelling,True,Bhojpuri,006102,exact source spelling,True,True,ready,
20,Jharkhand,Bhumij,user_addition,BHUMIJ,032002,exact source spelling,True,Bhumij,032002,exact source spelling,True,True,ready,
20,Jharkhand,Hindi,official_source,HINDI,006118,exact source spelling,True,Hindi,006240,exact source spelling,True,True,ready,
20,Jharkhand,Ho,official_source + user_addition,HO,048002,exact source spelling,True,Ho,048004,exact source spelling,True,True,ready,
20,Jharkhand,Kharia,official_source + user_addition,KHARIA,054004,exact source spelling,True,Kharia,054005,exact source spelling,True,True,ready,
20,Jharkhand,Khortha,official_source,KHORTHA/KHOTTA,006153,source alias/combined label,True,Khortha/Khotta,006320,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
20,Jharkhand,Kisan,user_addition,KISAN,060001,exact source spelling,True,Kisan,060002,exact source spelling,True,True,ready,
20,Jharkhand,Koda,user_addition,KODA/KORA,062003,source alias/combined label,True,Koda/Kora,062003,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
20,Jharkhand,Korwa,user_addition,KORWA,068000,exact source spelling; parent row only,True,KORWA,068000,exact source spelling; parent row only,True,True,ready_with_source_caveat,"at least one year has only a parent row, not a distinct child mother-tongue row"
20,Jharkhand,Kurmali,official_source,KURMALI THAR,006165,source alias/combined label,True,Kurmali Thar,006345,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
20,Jharkhand,Kurukh,official_source + user_addition,KURUKH/ORAON,072009,source alias/combined label,True,Kurukh/Oraon,072024,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
20,Jharkhand,Magahi,official_source,MAGADHI/MAGAHI,006179,source alias/combined label,True,Magadhi/Magahi,006376,source alias/combined label,True,True,ready_with_source_caveat,Census label combines the requested name with a variant or paired name
