paper_id,placement,artifact_type,publication_status,title,publication_artifact,source_artifact,generating_script,estimand_or_content,caption,architecture_version,frozen_date
Appendix Figure A3,Appendix,Figure,Built,India WVS far-right support using the narrow ideology definition,outputs/paper_descriptive_figures_v1_0/appendix/Appendix_narrow_india_wvs_far_right_support_by_ideology.pdf,outputs/paper_descriptive_figures_v1_0/figure_data/Appendix_narrow_india_source_data.csv,R/32_build_main_descriptive_figures_v1_0.R,"Figure 4 analogue using Left 1-2, Moderate 5-6, Right 9-10",Alternative ideology-definition version of Figure 4.,v1.3,2026-08-24
Appendix Figure A4,Appendix,Figure,Built,Logged Manufacturing FDI and the Muslim-share gradient,outputs/manufacturing_marginal_effects_display_refinement_v1_0/08_appendix_figure_manufacturing_log1p_1pp.pdf,outputs/manufacturing_marginal_effects_display_refinement_v1_0/02_primary_1pp_curve_with_support_metrics.csv,R/29b_manufacturing_marginal_effects_display_refinement_v1_0.R,Logged-Manufacturing analogue of Figure 5,Marginal-effect analogue of Figure 5 using log1p Manufacturing FDI.,v1.3,2026-08-24
Appendix Figure A5,Appendix,Figure,Built,Marginal effect of Manufacturing FDI across Muslim population share,outputs/manufacturing_marginal_effects_v1_0/09_appendix_reverse_manufacturing_plus1_project.pdf,outputs/manufacturing_marginal_effects_v1_0/03_appendix_reverse_plus1_project_grid.csv,R/29_manufacturing_marginal_effects_v1_0.R,Average discrete effect of +1 Manufacturing FDI project per 100k across Muslim population share,Reverse-derivative Manufacturing FDI marginal-effect display.,v1.3,2026-08-24
Appendix Figure A6,Appendix,Figure,Built,Voter-level specification robustness,outputs/r30_specification_curve_display_refinement_v1_0/12_appendix_voter_specification_robustness_final.pdf,outputs/r30_specification_curve_display_refinement_v1_0/01_final_figure_data_reference_sd.csv,R/30d_refine_specification_curve_display_v1_0.R,Voter-level analogue of Figure 6,Voter-level robustness of the FDI × Muslim-share relationship.,v1.3,2026-08-24
Appendix Figure A7,Appendix,Figure,Built,Alternative demographic-context moderators,outputs/r31_demographic_context_display_v1_0/01_appendix_demographic_context_robustness.pdf,outputs/r31_demographic_context_display_v1_0/03_appendix_figure_data.csv,R/31c_refine_demographic_context_display_v1_0.R,"FDI interaction across Muslim, migration, male-migration, and Bengali/Bhojpuri demographic-context moderators",Alternative demographic-context interactions. Native model coefficients remain the inferential results; the figure uses fixed reference scaling only to make differently measured moderators visually comparable. Measures of 2001-2011 demographic change overlap part of the current FDI period and are interpreted as post-baseline contextual robustness checks.,v1.3,2026-08-24
Appendix Table A1,Appendix,Table,Built,Assembly-constituency log1p Total and Manufacturing FDI models,outputs/paper_tables_v1_0/appendix/Appendix_Table_A1_ac_log1p_models.tex,outputs/main_regression_table_models_v1_0/11_appendix_ac_log_table_summary.csv,R/34_render_publication_tables_v1_0.R,Log1p AC analogues of the main Total and Manufacturing models,Assembly-constituency models using log1p Total and Manufacturing FDI.,v1.3,2026-08-24
Appendix Table A2,Appendix,Table,Built,Voter-level log1p Total and Manufacturing FDI models,outputs/paper_tables_v1_0/appendix/Appendix_Table_A2_voter_log1p_models.tex,outputs/main_regression_table_models_v1_0/12_appendix_voter_log_table_summary.csv,R/34_render_publication_tables_v1_0.R,Log1p voter analogues of the main Total and Manufacturing models,Voter-level models using log1p Total and Manufacturing FDI.,v1.3,2026-08-24
Appendix Table A3,Appendix,Table,Built,Post-estimation Wald diagnostics,outputs/paper_tables_v1_0/appendix/Appendix_Table_A3_post_estimation_wald_diagnostics.tex,outputs/post_primary_wald_diagnostics_v1_0/02_appendix_wald_table.csv,R/34_render_publication_tables_v1_0.R,Joint Wald tests motivated by observed correlation between baseline and current FDI,Post-estimation Wald diagnostics motivated by the observed correlation between baseline and current exposure.,v1.3,2026-08-24
Appendix Table A4,Appendix,Table,Built,Ideology-outcome heterogeneity,outputs/paper_tables_v1_0/appendix/Appendix_Table_A4_native_ideology_outcome_heterogeneity.tex,outputs/ac_ideology_outcome_heterogeneity_v1_0/02_native_ideology_coefficients.csv,R/34_render_publication_tables_v1_0.R,"Native Center, Left, and Right BJP-share interaction estimates","Assembly-constituency estimates using Center, Left, and Right BJP vote shares as alternative outcomes.",v1.3,2026-08-24
Appendix Table A5,Appendix,Table,Built,Pairwise ideology heterogeneity Wald tests,outputs/paper_tables_v1_0/appendix/Appendix_Table_A5_pairwise_ideology_wald_tests.tex,outputs/ac_ideology_pairwise_wald_refinement_v1_0/01_pairwise_common_sample_wald_tests.csv,R/34_render_publication_tables_v1_0.R,"Maximal-overlap pairwise Wald comparisons of Center, Left, and Right interaction coefficients",Pairwise Wald tests using maximal pair-specific common samples.,v1.3,2026-08-24
Appendix Table A6,Appendix,Table,Built,Three-ideology omnibus Wald tests,outputs/paper_tables_v1_0/appendix/Appendix_Table_A6_three_ideology_omnibus_wald_tests.tex,outputs/ac_ideology_pairwise_wald_refinement_v1_0/02_three_ideology_omnibus_wald_tests.csv,R/34_render_publication_tables_v1_0.R,Three-way omnibus equality tests; fragile high-correlation Manufacturing result treated as secondary,Three-ideology omnibus Wald tests on the common three-outcome sample.,v1.3,2026-08-24
Appendix Table A7,Appendix,Table,Built,Core temporal and exposure-definition robustness,outputs/paper_tables_v1_0/appendix/Appendix_Table_A7_core_specification_robustness.tex,outputs/r30_core_specification_curve_v1_0/01_core_specification_results.csv,R/34_render_publication_tables_v1_0.R,"Registered Total and Manufacturing 60m local raw/log, own-only, 21m, and post-estimation 12m specifications",Full numerical results underlying the specification-robustness figures.,v1.3,2026-08-24
Appendix Table A8,Appendix,Table,Built,Services FDI models,outputs/paper_tables_v1_0/appendix/Appendix_Table_A8_services_fdi_models.tex,outputs/paper_tables_v1_0/source/Appendix_Table_A8_services_model_source.csv,R/34_render_publication_tables_v1_0.R,Parallel Services FDI AC and voter specifications,Services FDI robustness models.,v1.3,2026-08-24
Appendix Table A9,Appendix,Table,Built,Official-vote contextual triple interactions,outputs/paper_tables_v1_0/appendix/Appendix_Table_A9_official_vote_temporal_saturation.tex,outputs/paper_tables_v1_0/source/Appendix_Table_A9_official_vote_temporal_source.csv,R/34_render_publication_tables_v1_0.R,Restricted and temporally saturated official BJP vote-share triple-interaction specifications,Official-vote contextual triple-interaction robustness.,v1.3,2026-08-24
Appendix Figure A8,Appendix,Figure,Built,FDI exposure distributions,outputs/paper_appendix_descriptives_v1_0/figures/Appendix_Figure_A8_fdi_exposure_distributions.pdf,outputs/paper_appendix_descriptives_v1_0/figure_data/Appendix_Figure_A8_source_data.csv,R/35_build_appendix_distributions_and_taxonomy_v1_0.R,"Total, Manufacturing, and Services FDI distributions and temporal-change distributions",Distribution of constituency FDI exposure.,v1.3,2026-08-24
Appendix Figure A9,Appendix,Figure,Built,Muslim population share distribution,outputs/paper_appendix_descriptives_v1_0/figures/Appendix_Figure_A9_muslim_share_2001_distribution.pdf,outputs/paper_appendix_descriptives_v1_0/figure_data/Appendix_Figure_A9_source_data.csv,R/35_build_appendix_distributions_and_taxonomy_v1_0.R,Distribution of 2001 Muslim population share across constituencies,Distribution of constituency Muslim population share in 2001.,v1.3,2026-08-24
Appendix Table A10,Appendix,Table,Built,FDI sector taxonomy,outputs/paper_appendix_descriptives_v1_0/tables/Appendix_Table_A10_fdi_sector_taxonomy.tex,config/fdi_sector_taxonomy.csv,R/35_build_appendix_distributions_and_taxonomy_v1_0.R,Authoritative mapping of FDI project industries into Manufacturing and Services,FDI sector-classification taxonomy.,v1.3,2026-08-24
Appendix Figure/Table A11,Appendix,Mixed,Built,NES classification and composition diagnostics,outputs/paper_appendix_final_diagnostics_v1_0/A11_NES/Appendix_A11_NES_diagnostics_index.html,outputs/paper_appendix_final_diagnostics_v1_0/A11_NES/03_A11_bundle_manifest.csv,R/36_build_final_nes_and_influence_appendix_v1_0.R,"NES ideology item coding, classification composition, party choice, income, and education diagnostics",NES classification and descriptive robustness materials.,v1.3,2026-08-24
Appendix Diagnostic A12,Appendix,Diagnostic,Built,Influence and support diagnostics,outputs/paper_appendix_final_diagnostics_v1_0/A12_influence_support/Appendix_A12_influence_and_support_diagnostics.html,outputs/paper_appendix_final_diagnostics_v1_0/A12_influence_support/01_A12_bundle_manifest.csv,R/36_build_final_nes_and_influence_appendix_v1_0.R,AC influence diagnostics and FDI support diagnostics,Influence and empirical-support diagnostics.,v1.3,2026-08-24
